Date: 2024-03-05 06:19:40.516530
File: /home/yanboyang713/Documents/Automated-Software-Engineering/data/auto93.csv
repeats: 20
seed: 31210
rows: 398
cols: 8
names	 ['Clndrs', 'Volume', 'HpX', 'Model', 'origin', 'Lbs-', 'Acc+', 'Mpg+'] 	D2h
mid	 [5.45, 193.43, 0, 76.01, 1, 2970.42, 15.57, 23.84] 	 0.54
div	 [1.7, 104.27, 0, 3.7, 1.33, 846.84, 2.76, 8.34] 	 0.98
#
smo9	 [4, 72, 69, 71, 3, 1613, 18, 40] 	 0.27
smo9	 [4, 86, 65, 80, 3, 2110, 17.9, 50] 	 0.25
smo9	 [5, 121, 67, 80, 2, 2950, 19.9, 40] 	 0.31
smo9	 [5, 121, 67, 80, 2, 2950, 19.9, 40] 	 0.31
smo9	 [4, 91, 68, 82, 3, 1970, 17.6, 30] 	 0.38
smo9	 [4, 85, 70, 78, 3, 2070, 18.6, 40] 	 0.27
smo9	 [4, 97, 46, 73, 2, 1950, 21, 30] 	 0.32
smo9	 [4, 91, 70, 71, 1, 1955, 20.5, 30] 	 0.33
smo9	 [4, 86, 65, 80, 3, 2110, 17.9, 50] 	 0.25
smo9	 [4, 85, 70, 78, 3, 2070, 18.6, 40] 	 0.27
smo9	 [4, 83, 61, 74, 3, 2003, 19, 30] 	 0.36
smo9	 [4, 86, 65, 80, 3, 2110, 17.9, 50] 	 0.25
smo9	 [4, 97, 46, 73, 2, 1950, 21, 30] 	 0.32
smo9	 [4, 98, 68, 77, 3, 2045, 18.5, 30] 	 0.37
smo9	 [4, 91, 68, 82, 3, 2025, 18.2, 40] 	 0.28
smo9	 [4, 72, 69, 71, 3, 1613, 18, 40] 	 0.27
smo9	 [4, 90, 48, 78, 2, 1985, 21.5, 40] 	 0.19
smo9	 [6, 262, 85, 82, 1, 3015, 17, 40] 	 0.38
smo9	 [4, 72, 69, 71, 3, 1613, 18, 40] 	 0.27
smo9	 [4, 107, 72, 80, 3, 2290, 17, 30] 	 0.41
#
any50	 [4, 85, 70, 78, 3, 2070, 18.6, 40] 	 0.27
any50	 [4, 105, 70, 79, 1, 2150, 14.9, 30] 	 0.45
any50	 [4, 108, 93, 74, 3, 2391, 15.5, 30] 	 0.45
any50	 [4, 98, 70, 80, 1, 2120, 15.5, 30] 	 0.44
any50	 [4, 85, 70, 78, 3, 2070, 18.6, 40] 	 0.27
any50	 [4, 71, 65, 74, 3, 1836, 21, 30] 	 0.32
any50	 [4, 89, 62, 81, 3, 2050, 17.3, 40] 	 0.3
any50	 [4, 91, 67, 82, 3, 1995, 16.2, 40] 	 0.33
any50	 [4, 85, 65, 81, 3, 1975, 19.4, 40] 	 0.24
any50	 [4, 91, 70, 71, 1, 1955, 20.5, 30] 	 0.33
any50	 [4, 98, 80, 79, 1, 1915, 14.4, 40] 	 0.39
any50	 [4, 97, 52, 82, 2, 2130, 24.6, 40] 	 0.17
any50	 [4, 97, 60, 71, 2, 1834, 19, 30] 	 0.35
any50	 [4, 98, 70, 82, 1, 2125, 17.3, 40] 	 0.31
any50	 [4, 112, 88, 82, 1, 2605, 19.6, 30] 	 0.38
any50	 [4, 89, 60, 80, 3, 1968, 18.8, 40] 	 0.26
any50	 [4, 134, 90, 80, 3, 2711, 15.5, 30] 	 0.47
any50	 [4, 78, 52, 78, 3, 1985, 19.4, 30] 	 0.35
any50	 [4, 89, 60, 80, 3, 1968, 18.8, 40] 	 0.26
any50	 [4, 85, 65, 81, 3, 1975, 19.4, 40] 	 0.24
#
100%	 [4, 97, 52, 82, 2, 2130, 24.6, 40] 	 0.17
